slug,latin_name,common_name,source
anomaloninae-indet,Anomaloninae indet.,Anomaloninae parasitoid wasps,derived
aphidinae,Aphidinae,true aphids,known
archarius-crux,Archarius crux,hazel weevil,derived
ascobolus-brantophilus,Ascobolus brantophilus,goose dung cup fungus,derived
blepharipa-pratensis,Blepharipa pratensis,a tachinid fly,derived
caliothrips,Caliothrips,banded greenhouse thrips,known
centaurea-cyanus-cultivar,Centaurea cyanus (cultivar),cornflower cultivar,known
chromatomyia-primulae,Chromatomyia primulae,primrose leaf miner,derived
chrysotus-spec,Chrysotus spec.,Chrysotus long-legged flies,derived
cryptocephalus-ocellatus,Cryptocephalus ocellatus,case-bearer leaf beetle,derived
deutzia,Deutzia,deutzia,known
dianthus-spec-cultivar,Dianthus spec. (cultivar),carnation cultivar,known
dicyphus-errans,Dicyphus errans,Dicyphus plant bug,derived
dolerus-spec,Dolerus spec.,Dolerus sawflies,derived
dolichopus-claviger,Dolichopus claviger,a long-legged fly,derived
edwardsiana-geometrica,Edwardsiana geometrica,a leafhopper,derived
empis-livida,Empis livida,a dance fly,derived
enicospilus-ramidulus,Enicospilus ramidulus,an ichneumon wasp,derived
eutonia-barbipes,Eutonia barbipes,a crane fly,derived
gammarus-tigrinus,Gammarus tigrinus,banded freshwater shrimp,known
gastrolepta-anthracina,Gastrolepta anthracina,a tachinid fly,derived
gymnochiromyia,Gymnochiromyia,Gymnochiromyia flies,derived
harpella-forficella,Harpella forficella,Harpella moth,known
hercostomus-nigriplantis,Hercostomus nigriplantis,a long-legged fly,derived
hypericum-androsaemum-hypericum-hircinum-hypericum-x-inodorum,Hypericum androsaemum + Hypericum hircinum + Hypericum x inodorum,tutsan / stinking tutsan / Hidcote hypericum complex,derived
lamiastrum-galeobdolon-subsp-argentatum,Lamiastrum galeobdolon subsp. argentatum,silver dead-nettle,known
leccinum-scabrum-sl-incl-cyaneobasileucum-melaneum-schistophilum-variicolor,"Leccinum scabrum sl, incl. cyaneobasileucum, melaneum, schistophilum, variicolor",rough-stemmed bolete complex,known
lindneromyia-dorsalis,Lindneromyia dorsalis,flat-footed fly,derived
macrocentrus-spec,Macrocentrus spec.,braconid wasp,derived
megaloceroea-recticornis,Megaloceroea recticornis,straight-horned plant bug,derived
megalocoleus-molliculus,Megalocoleus molliculus,plant bug,derived
melanomya-nana,Melanomya nana,blow fly,derived
microlinyphia-pusilla,Microlinyphia pusilla,dwarf sheet-web spider,known
mystacides-nigra,Mystacides nigra,black longhorn caddisfly,known
nephrotoma-cornicina,Nephrotoma cornicina,tiger crane fly,known
oxybelus-bipunctatus,Oxybelus bipunctatus,spiny digger wasp,derived
palloptera-ustulata,Palloptera ustulata,flutter fly,derived
parasola-plicatilis-sl-incl-galericuliformis-hercules-kuehneri-leiocephala-megasperma-schroeteri,"Parasola plicatilis sl, incl. galericuliformis, hercules, kuehneri, leiocephala, megasperma, schroeteri",pleated inkcap (species complex),known
phaonia-spec,Phaonia spec.,muscid fly,derived
philodromus-aureolus,Philodromus aureolus,golden running crab spider,known
philosepedon-spec,Philosepedon spec.,moth fly,derived
phycitodes-spec,Phycitodes spec.,pyralid moth,derived
phytocoris-ulmi,Phytocoris ulmi,elm plant bug,known
phytomyza-senecionis,Phytomyza senecionis,ragwort leaf miner,known
pinalitus-cervinus,Pinalitus cervinus,plant bug,derived
platypalpus-spec,Platypalpus spec.,dance fly,derived
rhogogaster-spec,Rhogogaster spec.,grass sawfly,derived
rivellia-syngenesiae,Rivellia syngenesiae,signal fly,derived
segestria-bavarica,Segestria bavarica,tube web spider,known
sphaeroderma-testaceum,Sphaeroderma testaceum,thistle flea beetle,known
sylvicola-spec,Sylvicola spec.,window gnat,derived
symmorphus-spec,Symmorphus spec.,mason wasp,derived
syrphini,Syrphini,hoverflies,known
tillus-elongatus,Tillus elongatus,two-coloured checkered beetle,known
trachelospermum,Trachelospermum,star jasmine,known
acanthus-hungaricus,Acanthus hungaricus,Hungarian bear's breeches,known
acer-pseudoplatanus-f-aureovariegatum,Acer pseudoplatanus f. aureovariegatum,golden variegated sycamore,known
achillea-millefolium-cultivar,Achillea millefolium (cultivar),Yarrow (cultivar),known
adalia,Adalia,Two-spot ladybirds,derived
aegopodium,Aegopodium,Ground elder,known
agelastica,Agelastica,Alder leaf beetles,derived
agrilus,Agrilus,Jewel beetles,known
agrilus-spec,Agrilus spec.,Jewel beetles,derived
agromyza-flaviceps,Agromyza flaviceps,,unknown
agyneta,Agyneta,Sheet weaver spiders,known
ancylis-unguicella,Ancylis unguicella,,unknown
anodontini,Anodontini,Pond mussels,known
anoecia,Anoecia,Dogwood aphids,known
anthocomus-fasciatus,Anthocomus fasciatus,,unknown
anthrenus-pimpinellae,Anthrenus pimpinellae,Pimpinel carpet beetle,derived
aphrodes-spec,Aphrodes spec.,Leafhoppers,derived
aplocera-spec,Aplocera spec.,Geometer moths,derived
apolygus-lucorum,Apolygus lucorum,Green capsid bug,known
aquarius,Aquarius,Pond skaters,known
aquilegia-vulgaris-cultivar,Aquilegia vulgaris (cultivar),Columbine (cultivar),known
aradus-brenskei,Aradus brenskei,,unknown
arge-cyanocrocea,Arge cyanocrocea,Strawberry sawfly,known
arge-pagana,Arge pagana,Rose sawfly,known
atractotomus-mali,Atractotomus mali,Apple capsid bug,known
aulagromyza-hendeliana,Aulagromyza hendeliana,,unknown
austrolimnophila-ochracea,Austrolimnophila ochracea,Crane fly,derived
bledius-spec,Bledius spec.,Rove beetles,derived
brassiceae,Brassiceae,Mustard tribe,derived
byturus-spec,Byturus spec.,Fruitworm beetles,known
caloptilia-spec,Caloptilia spec.,Leaf blotch miners,derived
cantharis,Cantharis,Soldier beetles,known
cantharis-flavilabris,Cantharis flavilabris,,unknown
carpocoris-spec,Carpocoris spec.,Carpocoris shield bugs,derived
caryocolum-fischerella,Caryocolum fischerella,Caryocolum moth,derived
celypha-siderana,Celypha siderana,Phiaris tortrix moth,derived
chaoborus-spec,Chaoborus spec.,phantom midges,known
chromatomyia-spinaciae,Chromatomyia spinaciae,spinach leafminer,known
cnephasia-spec,Cnephasia spec.,Cnephasia tortrix moths,derived
coniopteryx-spec,Coniopteryx spec.,dusty-wings,known
coprinellus-micaceus-sl-incl-pallidissimus-saccharinus-truncorum,"Coprinellus micaceus sl, incl. pallidissimus, saccharinus, truncorum",glistening inkcap,known
coranus-spec,Coranus spec.,Coranus assassin bugs,derived
cordylepherus-viridis,Cordylepherus viridis,green malachite beetle,derived
cremnops-desertor,Cremnops desertor,Cremnops parasitoid wasp,derived
crossocerus-annulipes,Crossocerus annulipes,Crossocerus digger wasp,derived
crossocerus-binotatus,Crossocerus binotatus,Crossocerus digger wasp,derived
crossocerus-spec,Crossocerus spec.,Crossocerus digger wasps,derived
cryptinae-indet,Cryptinae indet.,Cryptinae parasitoid wasps,derived
cryptocephalus-spec,Cryptocephalus spec.,Cryptocephalus case-bearer beetles,derived
cryptodiaporthe-populea,Cryptodiaporthe populea,poplar bark canker fungus,derived
cryptosphaeria-eunomia,Cryptosphaeria eunomia,Cryptosphaeria wood fungus,derived
cylindroiulus-caeruleocinctus,Cylindroiulus caeruleocinctus,blue-ringed millipede,known
dacrymyces-stillatus,Dacrymyces stillatus,common jellyspot,known
dasineura-acrophila,Dasineura acrophila,maple gall midge,derived
dasineura-aparines,Dasineura aparines,cleavers gall midge,derived
dasineura-sisymbrii,Dasineura sisymbrii,hedge mustard gall midge,derived
dasytes-spec,Dasytes spec.,Dasytes soft-winged flower beetles,derived
datura-stramonium-var-tatula,Datura stramonium var. tatula,purple thorn-apple,known
depressaria,Depressaria,Depressaria flat-body moths,derived
deraeocoris-trifasciatus,Deraeocoris trifasciatus,three-banded plant bug,derived
dexiosoma-caninum,Dexiosoma caninum,Dexiosoma parasitoid fly,derived
dichetophora-obliterata,Dichetophora obliterata,Dichetophora marsh fly,derived
dichrooscytus-intermedius,Dichrooscytus intermedius,Dichrooscytus plant bug,derived
dichrooscytus-rufipennis,Dichrooscytus rufipennis,Red-winged plant bug,derived
dicyphus-globulifer,Dicyphus globulifer,Globular-glandular plant bug,derived
dolichopus,Dolichopus,Long-legged flies,known
dolichopus-lepidus,Dolichopus lepidus,Scaly long-legged fly,derived
dolichopus-plumipes,Dolichopus plumipes,Feather-legged long-legged fly,derived
donacia-clavipes,Donacia clavipes,Club-footed reed beetle,derived
eccopisa-effractella,Eccopisa effractella,Snout moth,derived
ectemnius-sexcinctus,Ectemnius sexcinctus,Six-banded digger wasp,derived
ectopsocus,Ectopsocus,Bark lice,known
ectopsocus-briggsi,Ectopsocus briggsi,Briggs's bark louse,derived
encyrtidae-indet,Encyrtidae indet.,Encyrtid wasps,derived
enoplognatha,Enoplognatha,Comb-footed spiders,known
erigone,Erigone,Money spiders,known
erodium-trifolium,Erodium trifolium,Three-leaved stork's-bill,derived
erysimum-bicolor,Erysimum bicolor,Two-coloured wallflower,derived
erysiphe-sensu-lato,Erysiphe sensu lato,Powdery mildew fungi,known
ethmia-terminella,Ethmia terminella,Ethmia moth,derived
eumerus-spec,Eumerus spec.,Bulb flies,known
euphorbia-amygdaloides-subsp-robbiae,Euphorbia amygdaloides subsp. robbiae,Robb's wood spurge,known
eupterycyba-jucunda,Eupterycyba jucunda,Leafhopper,derived
eupteryx-florida,Eupteryx florida,Florida leafhopper,derived
eurylabus-spec,Eurylabus spec.,Ichneumon wasp,derived
eustalomyia-hilaris,Eustalomyia hilaris,Root-maggot fly,derived
exephanes-ischioxanthus,Exephanes ischioxanthus,Ichneumon wasp,derived
exetastes-adpressorius,Exetastes adpressorius,Ichneumon wasp,derived
fallopia-japonica-fallopia-sachalinensis-fallopia-x-bohemica,Fallopia japonica + Fallopia sachalinensis + Fallopia x bohemica,Japanese / Giant / Bohemian knotweeds,known
fatsia,Fatsia,Japanese aralia,known
forcipomyia-paludis,Forcipomyia paludis,Marsh biting midge,derived
gambrus-carnifex,Gambrus carnifex,Ichneumon wasp,derived
ganoderma-resinaceum,Ganoderma resinaceum,Resinous polypore,known
gelis-spec,Gelis spec.,Gelis parasitoid wasp,derived
gilpinia,Gilpinia,pine sawfly,known
gnophomyia,Gnophomyia,limoniid crane fly,derived
gnophomyia-tristissima,Gnophomyia tristissima,limoniid crane fly,derived
gonioctena-viminalis,Gonioctena viminalis,willow leaf beetle,known
gyrinus,Gyrinus,whirligig beetle,known
harpalinae,Harpalinae,ground beetle,known
harpalus-rubripes,Harpalus rubripes,ground beetle,known
hebecnema-spec,Hebecnema spec.,muscid fly,derived
hedobia-imperialis,Hedobia imperialis,imperial spider beetle,derived
hedychrum-gerstaeckeri,Hedychrum gerstaeckeri,ruby-tailed wasp,known
helina-evecta,Helina evecta,muscid fly,derived
helina-spec,Helina spec.,muscid fly,derived
heptatoma-pellucens,Heptatoma pellucens,horse fly,known
hercostomus-rusticus,Hercostomus rusticus,long-legged fly,known
hesperis,Hesperis,dame's violet,known
hybos-femoratus,Hybos femoratus,dance fly,known
hydrobius-fuscipes,Hydrobius fuscipes,water scavenger beetle,known
ichneumoninae-indet,Ichneumoninae indet.,ichneumon wasp,known
idiocerini,Idiocerini,leafhopper,known
ilisia-maculata,Ilisia maculata,limoniid crane fly,derived
inula-helenium-inula-racemosa,Inula helenium + Inula racemosa,elecampane,known
iteomyia-capreae,Iteomyia capreae,willow gall midge,known
jacobaea-vulgaris-subsp-vulgaris,Jacobaea vulgaris subsp. vulgaris,common ragwort,known
leiobunum-spec-a,Leiobunum spec. A,harvestman,known
limnephilus-flavicornis,Limnephilus flavicornis,yellow-horned caddisfly,known
limnephilus-spec,Limnephilus spec.,caddisfly,known
lindenius-albilabris,Lindenius albilabris,white-lipped digger wasp,derived
liriomyza-strigata,Liriomyza strigata,leaf-miner fly,known
lysimachia-verticillaris,Lysimachia verticillaris,whorled loosestrife,derived
macaroeris,Macaroeris,jumping spiders,derived
macropsis-spec,Macropsis spec.,tree leafhoppers,derived
macrosteles-cristatus,Macrosteles cristatus,crested leafhopper,known
melanomya,Melanomya,blowflies,derived
melica-transsilvanica,Melica transsilvanica,Transylvanian melick,known
melieria,Melieria,picture-winged flies,derived
mentha-x-rotundifolia-m-longifolia-x-m-suaveolens,Mentha x rotundifolia (M. longifolia x M. suaveolens),round-leaved mint,known
meromyza-spec,Meromyza spec.,grass flies,derived
microgastrinae-indet,Microgastrinae indet.,microgastrine braconid wasps,derived
micropeza-corrigiolata,Micropeza corrigiolata,stilt-legged fly,derived
mintho-rufiventris,Mintho rufiventris,red-bellied tachinid fly,derived
mordellistena-spec,Mordellistena spec.,tumbling flower beetles,derived
nabis-spec,Nabis spec.,damsel bugs,known
nemapogon-spec,Nemapogon spec.,fungus moths,known
nemesia-melissifolia,Nemesia melissifolia,nemesia,known
neocrepidodera-spec,Neocrepidodera spec.,flea beetles,derived
neomochtherus-geniculatus,Neomochtherus geniculatus,robber fly,derived
nepeta-x-faassenii-n-nepetella-x-n-racemosa,Nepeta x faassenii (N. nepetella x N. racemosa),garden catmint,known
nephrotoma-flavescens,Nephrotoma flavescens,yellow crane fly,derived
nephrotoma-flavipalpis,Nephrotoma flavipalpis,crane fly,derived
nephrotoma-guestfalica,Nephrotoma guestfalica,crane fly,derived
notiphila-spec,Notiphila spec.,shore flies,derived
notostira,Notostira,grass bugs,derived
odiellus-spinosus,Odiellus spinosus,spiny harvestman,known
oedemera,Oedemera,false blister beetles,known
oncopsis-spec,Oncopsis spec.,birch leafhoppers,derived
onopordum-x-beckianum-o-acanthium-x-o-illyricum,Onopordum x beckianum (O. acanthium x O. illyricum),hybrid cotton thistle,derived
ophonus-rufibarbis,Ophonus rufibarbis,red-bearded ground beetle,derived
opomyza-germinationis-petrei,Opomyza germinationis/petrei,grass flies,derived
orchestes-rusci,Orchestes rusci,flea weevil,derived
orthonotus-rufifrons,Orthonotus rufifrons,Orthonotus plant bug,derived
orthops-basalis,Orthops basalis,Orthops plant bug,derived
orthotylus-marginalis,Orthotylus marginalis,Orthotylus plant bug,derived
otiorhynchus-aurifer,Otiorhynchus aurifer,Golden vine weevil,derived
otiorhynchus-pseudonothus,Otiorhynchus pseudonothus,Otiorhynchus vine weevil,derived
otiorhynchus-spec,Otiorhynchus spec.,Vine weevil,known
oxybelus-uniglumis,Oxybelus uniglumis,Spine-tailed digger wasp,known
panimerus-spec,Panimerus spec.,Moth fly,derived
papaver-rhoeas-cultivar,Papaver rhoeas (cultivar),Common poppy (cultivar),known
parachronistis-albiceps,Parachronistis albiceps,White-headed twitch moth,derived
passaloecus-corniger,Passaloecus corniger,Aphid-hunting wasp,known
periclista-spec,Periclista spec.,Oak sawfly,derived
peripsychoda-auriculata,Peripsychoda auriculata,Moth fly,derived
peripsychoda-spec,Peripsychoda spec.,Moth fly,derived
perovskia-abrotanoides-x-perovskia-atriplicifolia,Perovskia abrotanoides x Perovskia atriplicifolia,Russian sage hybrid,known
phania-funesta,Phania funesta,Phania tachinid fly,derived
pherbellia-cinerella,Pherbellia cinerella,Marsh fly,derived
philodromus-albidus,Philodromus albidus,Running crab spider,derived
phyllocoptes-eupadi,Phyllocoptes eupadi,Cherry gall mite,derived
phyllosticta-cruenta,Phyllosticta cruenta,Lily leaf spot fungus,derived
phytomyza,Phytomyza,Leaf-mining fly,known
phytomyza-aquilegiae,Phytomyza aquilegiae,Columbine leaf miner,known
phytomyza-lappae,Phytomyza lappae,Burdock leaf miner,derived
phytomyza-spondylii-pastinacae,Phytomyza spondylii + pastinacae,Hogweed and parsnip leaf miner,derived
phytoptus-abnormis,Phytoptus abnormis,Phytoptus eriophyid mite,derived
piratula-latitans,Piratula latitans,Pirate wolf spider,derived
pithanus-maerkelii,Pithanus maerkelii,Pithanus plant bug,derived
plagiosterna-aenea,Plagiosterna aenea,Metallic leaf beetle,derived
planariidae,Planariidae,Planarians,known
plateumaris-bracata,Plateumaris bracata,Reed beetle,derived
plectosphaerella-alismatis,Plectosphaerella alismatis,Water-plantain wilt fungus,derived
pneumia-nubila-trivialis,Pneumia nubila/trivialis,moth fly,derived
pompilus-cinereus,Pompilus cinereus,grey spider wasp,known
procambarus,Procambarus,crayfish,known
protomyces-macrosporus,Protomyces macrosporus,large-spored leaf blister fungus,derived
psyllopsis-spec,Psyllopsis spec.,ash psyllid,derived
puccinia-aegopodii,Puccinia aegopodii,ground elder rust,derived
puccinia-allii,Puccinia allii,leek rust,known
rhaphium-spec,Rhaphium spec.,long-legged fly,derived
rhembobius-perscrutator,Rhembobius perscrutator,ichneumon wasp,derived
rhogogaster-viridis-s-l,Rhogogaster viridis s.l.,green sawfly,known
sawadaea-bicornis,Sawadaea bicornis,maple powdery mildew,known
sciapus-platypterus,Sciapus platypterus,flat-winged long-legged fly,derived
sciota-rhenella,Sciota rhenella,birch pyralid moth,derived
scymnus-schmidti-gr,Scymnus schmidti-gr,Schmidt's ladybird,derived
sepsis-spec,Sepsis spec.,black scavenger fly,known
sphaeroderma-spec,Sphaeroderma spec.,flea beetle,derived
sphaeromias-spec,Sphaeromias spec.,biting midge,derived
spintherophyta,Spintherophyta,case-bearing leaf beetle,derived
stemonitis-axifera,Stemonitis axifera,chocolate tube slime mould,known
stenolophus-mixtus,Stenolophus mixtus,slender ground beetle,derived
suillia-spec,Suillia spec.,heleomyzid fly,derived
symmorphus-crassicornis,Symmorphus crassicornis,thick-horned mason wasp,derived
symplecta-stictica,Symplecta stictica,spotted crane fly,derived
tachydromia,Tachydromia,dance fly,known
tachysphex-pompiliformis,Tachysphex pompiliformis,spider-hunter digger wasp,derived
tasgius,Tasgius,rove beetle,derived
tenthredo-spec,Tenthredo spec.,sawfly,known
tephritis,Tephritis,picture-winged fly,known
tetrix-spec,Tetrix spec.,groundhopper,known
thaumatomyia-spec,Thaumatomyia spec.,frit fly,known
thelaira-nigripes,Thelaira nigripes,black-legged parasitic fly,derived
thereva-cinifera,Thereva cinifera,stiletto fly,known
tinocallis,Tinocallis,elm aphid,known
tiphia-minuta,Tiphia minuta,flower wasp,derived
tremulicerus-tremulae,Tremulicerus tremulae,aspen leafhopper,derived
tremulicerus-vitreus,Tremulicerus vitreus,aspen leafhopper,derived
trifolieae,Trifolieae,clover tribe,derived
turritella-socordia,Turritella socordia,turritella snail,known
xantholinus,Xantholinus,rove beetle,known
xanthoria-calcicola,Xanthoria calcicola,limestone sunburst lichen,derived
xanthostigma-xanthostigma,Xanthostigma xanthostigma,snakefly,known
xerocomus-chrysenteron-sl-incl-bubalinus-cisalpinus-declivitatum-porosporus,"Xerocomus chrysenteron sl, incl. bubalinus, cisalpinus, declivitatum, porosporus",red cracking bolete,known
xorides-alpestris,Xorides alpestris,ichneumon wasp,derived
xyleborinus,Xyleborinus,ambrosia beetle,known
yponomeuta-malinellus,Yponomeuta malinellus,apple ermine moth,known
zimmermannia-longicaudella-atrifrontella,Zimmermannia longicaudella / atrifrontella,nepticulid moth,derived
Cercidiphyllum,Cercidiphyllum,katsura tree,known
Chitalpa,Chitalpa,chitalpa,known
Cyclocarya,Cyclocarya,ring-fruited walnut,derived
Cydonia,Cydonia,quince,known
Davidia,Davidia,dove tree,known
Dipelta,Dipelta,dipelta,derived
Emmenopterys,Emmenopterys,Emmenopterys,derived
Firmiana,Firmiana,Chinese parasol tree,known
Heptacodium,Heptacodium,seven-son flower,known
Idesia,Idesia,wonder tree,known
Kalopanax,Kalopanax,prickly castor-oil tree,known
Koelreuteria,Koelreuteria,golden rain tree,known
Kolkwitzia,Kolkwitzia,beautybush,known
Leycesteria,Leycesteria,Himalayan honeysuckle,known
Meliosma,Meliosma,meliosma,derived
Nandina,Nandina,heavenly bamboo,known
Oemleria,Oemleria,osoberry,known
Parrotia,Parrotia,Persian ironwood,known
Parrotiopsis,Parrotiopsis,parrotiopsis,derived
Picrasma,Picrasma,picrasma,derived
Platycladus,Platycladus,oriental arborvitae,known
Pterostyrax,Pterostyrax,epaulette tree,known
Skimmia,Skimmia,skimmia,known
Styphnolobium,Styphnolobium,Japanese pagoda tree,known
Sycoparrotia,Sycoparrotia,sycoparrotia,derived
Tetradium,Tetradium,bee-bee tree,known
Thujopsis,Thujopsis,hiba arborvitae,known
Toona,Toona,toon tree,known
Trachycarpus,Trachycarpus,windmill palm,known
