slug,latin_name,query_name,rank,kingdom,phylum,class_name,order_name,family,genus,species,scientific_name,match_type,confidence
ciconia-ciconia,Ciconia ciconia,Ciconia ciconia,species,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Ciconia,ciconia,"Ciconia ciconia (Linnaeus, 1758)",EXACT,99
polygonia-c-album,Polygonia c-album,Polygonia c-album,species,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Polygonia,c-album,"Polygonia c-album (Linnaeus, 1758)",EXACT,99
cichorium-intybus,Cichorium intybus,Cichorium intybus,species,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cichorium,intybus,Cichorium intybus L.,EXACT,99
achillea-millefolium,Achillea millefolium,Achillea millefolium,species,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,millefolium,Achillea millefolium L.,EXACT,98
issus-coleoptratus,Issus coleoptratus,Issus coleoptratus,species,Animalia,Arthropoda,Insecta,Hemiptera,Issidae,Issus,coleoptratus,"Issus coleoptratus (Fabricius, 1781)",EXACT,99
orthetrum-cancellatum,Orthetrum cancellatum,Orthetrum cancellatum,species,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Orthetrum,cancellatum,"Orthetrum cancellatum (Linnaeus, 1758)",EXACT,99
adalia-bipunctata,Adalia bipunctata,Adalia bipunctata,species,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Adalia,bipunctata,"Adalia bipunctata (Linnaeus, 1758)",EXACT,99
dactylorhiza-praetermissa,Dactylorhiza praetermissa,Dactylorhiza praetermissa,species,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dactylorhiza,majalis,Dactylorhiza praetermissa (Druce) Soó,EXACT,98
securigera-varia,Securigera varia,Securigera varia,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Coronilla,varia,Securigera varia (L.) Lassen,EXACT,98
senecio-inaequidens,Senecio inaequidens,Senecio inaequidens,species,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,inaequidens,Senecio inaequidens DC.,EXACT,99
malva-sylvestris,Malva sylvestris,Malva sylvestris,species,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Malva,sylvestris,Malva sylvestris L.,EXACT,99
plutella-xylostella,Plutella xylostella,Plutella xylostella,species,Animalia,Arthropoda,Insecta,Lepidoptera,Plutellidae,Plutella,xylostella,"Plutella xylostella (Linnaeus, 1767)",EXACT,99
silene-dioica,Silene dioica,Silene dioica,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Silene,dioica,Silene dioica (L.) Clairv.,EXACT,97
agrotis-clavis,Agrotis clavis,Agrotis clavis,species,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Agrotis,clavis,"Agrotis clavis Hufnagel, 1766",EXACT,97
ischnura-elegans,Ischnura elegans,Ischnura elegans,species,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura,elegans,"Ischnura elegans (Vander Linden, 1820)",EXACT,99
pasiphila-rectangulata,Pasiphila rectangulata,Pasiphila rectangulata,species,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Pasiphila,rectangulata,"Pasiphila rectangulata (Linnaeus, 1758)",EXACT,99
pieris-napi,Pieris napi,Pieris napi,species,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris,napi,"Pieris napi (Linnaeus, 1758)",EXACT,99
carduus-crispus,Carduus crispus,Carduus crispus,species,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Carduus,crispus,Carduus crispus L.,EXACT,97
geranium-pratense,Geranium pratense,Geranium pratense,species,Plantae,Tracheophyta,Magnoliopsida,Geraniales,Geraniaceae,Geranium,pratense,Geranium pratense L.,EXACT,97
aphomia-sociella,Aphomia sociella,Aphomia sociella,species,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Aphomia,sociella,"Aphomia sociella (Linnaeus, 1758)",EXACT,99
cirsium-arvense,Cirsium arvense,Cirsium arvense,species,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,arvense,Cirsium arvense (L.) Scop.,EXACT,99
daucus-carota,Daucus carota,Daucus carota,species,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,carota,Daucus carota L.,EXACT,97
hedya-nubiferana,Hedya nubiferana,Hedya nubiferana,species,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Hedya,nubiferana,"Hedya nubiferana (Haworth, 1811)",EXACT,99
volucella-zonaria,Volucella zonaria,Volucella zonaria,species,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Volucella,zonaria,"Volucella zonaria (Poda, 1761)",EXACT,99
hofmannophila-pseudospretella,Hofmannophila pseudospretella,Hofmannophila pseudospretella,species,Animalia,Arthropoda,Insecta,Lepidoptera,Oecophoridae,Hofmannophila,pseudospretella,"Hofmannophila pseudospretella Stainton, 1849",EXACT,99
alcedo-atthis,Alcedo atthis,Alcedo atthis,species,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Alcedo,atthis,"Alcedo atthis (Linnaeus, 1758)",EXACT,99
celypha-lacunana,Celypha lacunana,Celypha lacunana,species,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Syricoris,lacunana,"Celypha lacunana (Denis & Schiffermüller, 1775)",EXACT,98
certhia-brachydactyla,Certhia brachydactyla,Certhia brachydactyla,species,Animalia,Chordata,Aves,Passeriformes,Certhiidae,Certhia,brachydactyla,"Certhia brachydactyla C.L.Brehm, 1820",EXACT,99
circaea-lutetiana,Circaea lutetiana,Circaea lutetiana,species,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Circaea,lutetiana,Circaea lutetiana L.,EXACT,98
crassa-unitella,Crassa unitella,Crassa unitella,species,Animalia,Arthropoda,Insecta,Lepidoptera,Oecophoridae,Borkhausenia,unitella,"Crassa unitella (Hübner, 1796)",EXACT,97
palomena-prasina,Palomena prasina,Palomena prasina,species,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Palomena,prasina,"Palomena prasina (Linnaeus, 1761)",EXACT,99
papaver-rhoeas,Papaver rhoeas,Papaver rhoeas,species,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Papaver,rhoeas,Papaver rhoeas L.,EXACT,98
verbascum-phlomoides,Verbascum phlomoides,Verbascum phlomoides,species,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Verbascum,phlomoides,Verbascum phlomoides L.,EXACT,97
anania-hortulata,Anania hortulata,Anania hortulata,species,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Anania,hortulata,"Anania hortulata Linnaeus, 1758",EXACT,98
anser-anser,Anser anser,Anser anser,species,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,anser,"Anser anser (Linnaeus, 1758)",EXACT,99
cantharis-livida,Cantharis livida,Cantharis livida,species,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Cantharis,livida,"Cantharis livida Linnaeus, 1758",EXACT,99
eudonia-delunella,Eudonia delunella,Eudonia delunella,species,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Eudonia,delunella,"Eudonia delunella Stainton, 1849",EXACT,99
megachile-spec,Megachile spec.,Megachile spec.,genus,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Megachile,,"Megachile Latreille, 1802",HIGHERRANK,92
tettigonia-viridissima,Tettigonia viridissima,Tettigonia viridissima,species,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Tettigonia,viridissima,"Tettigonia viridissima (Linnaeus, 1758)",EXACT,99
anomala-dubia,Anomala dubia,Anomala dubia,species,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Anomala,dubia,"Anomala dubia (Scopoli, 1763)",EXACT,99
aythya-fuligula,Aythya fuligula,Aythya fuligula,species,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,fuligula,"Aythya fuligula (Linnaeus, 1758)",EXACT,99
brassica-nigra,Brassica nigra,Brassica nigra,species,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,nigra,Brassica nigra (L.) W.D.J.Koch,EXACT,98
chrysopilus-asiliformis,Chrysopilus asiliformis,Chrysopilus asiliformis,species,Animalia,Arthropoda,Insecta,Diptera,Rhagionidae,Chrysopilus,asiliformis,"Chrysopilus asiliformis (Preyssler, 1791)",EXACT,97
crepis-capillaris,Crepis capillaris,Crepis capillaris,species,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Crepis,capillaris,Crepis capillaris (L.) Wallr.,EXACT,99
jacobaea-vulgaris-subsp-dunensis,Jacobaea vulgaris subsp. dunensis,Jacobaea vulgaris subsp. dunensis,subspecies,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jacobaea,vulgaris,Jacobaea vulgaris subsp. dunensis (Dumort.) Pelser & Meijden,EXACT,99
medicago-sativa,Medicago sativa,Medicago sativa,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Medicago,sativa,Medicago sativa L.,EXACT,97
psittacula-eupatria,Psittacula eupatria,Psittacula eupatria,species,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Psittacula,eupatria,"Psittacula eupatria (Linnaeus, 1766)",EXACT,99
celypha-striana,Celypha striana,Celypha striana,species,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Celypha,striana,"Celypha striana (Denis & Schiffermüller) , 1775",EXACT,98
ichneumon-xanthorius,Ichneumon xanthorius,Ichneumon xanthorius,species,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Ichneumon,xanthorius,"Ichneumon xanthorius Forster, 1771",EXACT,99
maniola-jurtina,Maniola jurtina,Maniola jurtina,species,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Maniola,jurtina,"Maniola jurtina (Linnaeus, 1758)",EXACT,99
melilotus-albus,Melilotus albus,Melilotus albus,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Melilotus,albus,Melilotus albus Medik.,EXACT,97
oecetis-ochracea,Oecetis ochracea,Oecetis ochracea,species,Animalia,Arthropoda,Insecta,Trichoptera,Leptoceridae,Oecetis,ochracea,"Oecetis ochracea (Curtis, 1825)",EXACT,99
oedemera-lurida-virescens,Oedemera lurida/virescens,Oedemera lurida/virescens,species,Animalia,Arthropoda,Insecta,Coleoptera,Oedemeridae,Oedemera,lurida,"Oedemera lurida (Marsham, 1802)",EXACT,99
opilio-canestrinii,Opilio canestrinii,Opilio canestrinii,species,Animalia,Arthropoda,Arachnida,Opiliones,Phalangiidae,Opilio,canestrinii,"Opilio canestrinii (Thorell, 1876)",EXACT,99
phoenicurus-ochruros,Phoenicurus ochruros,Phoenicurus ochruros,species,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Phoenicurus,ochruros,"Phoenicurus ochruros (S.G.Gmelin, 1774)",EXACT,99
pterocarya-fraxinifolia,Pterocarya fraxinifolia,Pterocarya fraxinifolia,species,Plantae,Tracheophyta,Magnoliopsida,Fagales,Juglandaceae,Pterocarya,fraxinifolia,Pterocarya fraxinifolia (Poir.) Spach,EXACT,97
araneus-diadematus,Araneus diadematus,Araneus diadematus,species,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Araneus,diadematus,"Araneus diadematus Clerck, 1757",EXACT,97
convolvulus-sepium,Convolvulus sepium,Convolvulus sepium,species,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Convolvulus,sepium,"Convolvulus sepium Pall., 1776",EXACT,97
cucullia-scrophulariae,Cucullia scrophulariae,Cucullia scrophulariae,species,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Shargacucullia,scrophulariae,"Cucullia scrophulariae (Denis & Schiffermüller, 1775)",EXACT,98
marpissa-muscosa,Marpissa muscosa,Marpissa muscosa,species,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Marpissa,muscosa,"Marpissa muscosa (Clerck, 1757)",EXACT,99
mystacides-longicornis,Mystacides longicornis,Mystacides longicornis,species,Animalia,Arthropoda,Insecta,Trichoptera,Leptoceridae,Mystacides,longicornis,"Mystacides longicornis (Linnaeus, 1758)",EXACT,99
phalacrocorax-carbo,Phalacrocorax carbo,Phalacrocorax carbo,species,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,carbo,"Phalacrocorax carbo (Linnaeus, 1758)",EXACT,99
philodromus-spec,Philodromus spec.,Philodromus spec.,genus,Animalia,Arthropoda,Arachnida,Araneae,Philodromidae,Philodromus,,"Philodromus Walckenaer, 1826",HIGHERRANK,94
polycarpon-tetraphyllum,Polycarpon tetraphyllum,Polycarpon tetraphyllum,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Polycarpon,tetraphyllum,Polycarpon tetraphyllum (L.) L.,EXACT,99
polydrusus-formosus,Polydrusus formosus,Polydrusus formosus,species,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Polydrusus,formosus,"Polydrusus formosus (Mayer, 1779)",EXACT,99
alcea-rosea,Alcea rosea,Alcea rosea,species,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Alcea,rosea,Alcea rosea L.,EXACT,98
artemisia-vulgaris,Artemisia vulgaris,Artemisia vulgaris,species,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,vulgaris,Artemisia vulgaris L.,EXACT,97
chenopodium-album,Chenopodium album,Chenopodium album,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Chenopodium,album,Chenopodium album L.,EXACT,97
hypochaeris-radicata,Hypochaeris radicata,Hypochaeris radicata,species,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Hypochaeris,radicata,Hypochaeris radicata L.,EXACT,99
idaea-seriata,Idaea seriata,Idaea seriata,species,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Idaea,seriata,"Idaea seriata (Schrank, 1802)",EXACT,99
lapsana-communis,Lapsana communis,Lapsana communis,species,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lapsana,communis,Lapsana communis L.,EXACT,99
potentilla-indica,Potentilla indica,Potentilla indica,species,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Potentilla,indica,Potentilla indica (Andrews) Th.Wolf,EXACT,99
salticus-scenicus,Salticus scenicus,Salticus scenicus,species,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Salticus,scenicus,"Salticus scenicus (Clerck, 1757)",EXACT,99
aegithalos-caudatus,Aegithalos caudatus,Aegithalos caudatus,species,Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Aegithalos,caudatus,"Aegithalos caudatus (Linnaeus, 1758)",EXACT,97
centaurea-jacea,Centaurea jacea,Centaurea jacea,species,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea,jacea,Centaurea jacea L.,EXACT,99
idaea-fuscovenosa,Idaea fuscovenosa,Idaea fuscovenosa,species,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Idaea,fuscovenosa,"Idaea fuscovenosa (Goeze, 1781)",EXACT,99
jacobaea-vulgaris,Jacobaea vulgaris,Jacobaea vulgaris,species,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jacobaea,vulgaris,Jacobaea vulgaris Gaertn.,EXACT,97
lythrum-salicaria,Lythrum salicaria,Lythrum salicaria,species,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Lythraceae,Lythrum,salicaria,Lythrum salicaria L.,EXACT,99
meconema-spec,Meconema spec.,Meconema spec.,genus,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Meconema,,"Meconema Serville, 1831",HIGHERRANK,92
axylia-putris,Axylia putris,Axylia putris,species,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Axylia,putris,"Axylia putris Linnaeus, 1761",EXACT,99
camptogramma-bilineata,Camptogramma bilineata,Camptogramma bilineata,species,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Camptogramma,bilineata,"Camptogramma bilineata (Linnaeus, 1758)",EXACT,99
crambus-pascuella,Crambus pascuella,Crambus pascuella,species,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Crambus,pascuella,"Crambus pascuella Linnaeus, 1758",EXACT,99
falco-peregrinus,Falco peregrinus,Falco peregrinus,species,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,peregrinus,"Falco peregrinus Tunstall, 1771",EXACT,99
lotus-corniculatus,Lotus corniculatus,Lotus corniculatus,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lotus,corniculatus,Lotus corniculatus L.,EXACT,99
lucilia-spec,Lucilia spec.,,unmatched,,,,,,,,,,
polistes-dominula,Polistes dominula,Polistes dominula,species,Animalia,Arthropoda,Insecta,Hymenoptera,Eumenidae,Polistes,dominula,"Polistes dominula (Christ, 1791)",EXACT,99
porcellio-scaber,Porcellio scaber,Porcellio scaber,species,Animalia,Arthropoda,Malacostraca,Isopoda,Porcellionidae,Porcellio,scaber,"Porcellio scaber Latreille, 1804",EXACT,99
stachys-sylvatica,Stachys sylvatica,Stachys sylvatica,species,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Stachys,sylvatica,Stachys sylvatica L.,EXACT,98
vicia-cracca,Vicia cracca,Vicia cracca,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,cracca,Vicia cracca L.,EXACT,98
yponomeuta-spec,Yponomeuta spec.,Yponomeuta spec.,genus,Animalia,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,Yponomeuta,,Yponomeuta Latreille,HIGHERRANK,94
aegopodium-podagraria,Aegopodium podagraria,Aegopodium podagraria,species,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Aegopodium,podagraria,Aegopodium podagraria L.,EXACT,99
chorthippus-brunneus,Chorthippus brunneus,Chorthippus brunneus,species,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Chorthippus,brunneus,"Chorthippus brunneus (Thunberg, 1815)",EXACT,99
clepsis-dumicolana,Clepsis dumicolana,Clepsis dumicolana,species,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Clepsis,dumicolana,"Clepsis dumicolana (Zeller, 1847)",EXACT,99
deraeocoris-ruber,Deraeocoris ruber,Deraeocoris ruber,species,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Deraeocoris,ruber,"Deraeocoris ruber (Linnaeus, 1758)",EXACT,99
eupeodes-corollae,Eupeodes corollae,Eupeodes corollae,species,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eupeodes,corollae,"Eupeodes corollae (Fabricius, 1794)",EXACT,99
hemithea-aestivaria,Hemithea aestivaria,Hemithea aestivaria,species,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Hemithea,aestivaria,"Hemithea aestivaria (Hübner, 1799)",EXACT,99
heracleum-mantegazzianum,Heracleum mantegazzianum,Heracleum mantegazzianum,species,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Heracleum,mantegazzianum,Heracleum mantegazzianum Sommier & Levier,EXACT,99
mycelis-muralis,Mycelis muralis,Mycelis muralis,species,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Mycelis,muralis,Mycelis muralis (L.) Dumort.,EXACT,99
oligia-spec,Oligia spec.,Oligia spec.,genus,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Oligia,,Oligia Hübner,HIGHERRANK,94
pararge-aegeria,Pararge aegeria,Pararge aegeria,species,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Pararge,aegeria,"Pararge aegeria (Linnaeus, 1758)",EXACT,99
peribatodes-rhomboidaria,Peribatodes rhomboidaria,Peribatodes rhomboidaria,species,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Peribatodes,rhomboidaria,"Peribatodes rhomboidaria (Denis & Schiffermüller) , 1775",EXACT,99
rhagonycha-fulva,Rhagonycha fulva,Rhagonycha fulva,species,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Rhagonycha,fulva,"Rhagonycha fulva (Scopoli, 1763)",EXACT,99
